Stock Code,Investment2019
425,799807.1555
521,
600290,
600351,
600771,
531,
600856,
601390,
600936,
600247,
600682,
600730,
600273,206272.5151
603105,
603093,
603056,
600714,21845.65083
859,62428.86629
600725,8937.811125
657,10910.90912
600284,
166,
862,
581,214565.7805
600452,
599,53785.05282
807,209345.9297
600781,
600853,
600754,
601500,54723.0693
600475,11921.75226
600523,48407.17173
600478,
600506,27213.14493
688,74377.67839
603929,
300588,
601916,
49,142133.4934
601006,
2819,
200570,3163.2768
823,
2043,47328.08626
603227,51403.88914
601008,
600985,28260.49932
972,21510.8491
663,5467.18194
545,23168.91701
600165,18334.57015
600803,230826.2415
600579,50161.55786
600815,106736.4485
600578,
600512,
554,
632,
829,
600511,
600838,
600155,
600837,
616,
600208,
600322,
600823,
892,
600876,42103.12269
600444,5505.957344
952,
603843,
603869,
836,
600715,
2162,20261.68613
600408,26540.13398
722,
2060,
600103,68023.49762
600006,52990.6
2189,
600775,
600318,
710,
683,128293.6292
600796,14578.03881
835,
603815,
959,140038.8069
300573,
600216,
600391,35082.17108
600010,443333.1246
55,19205.79275
600732,
600476,
600753,
620,
909,
600077,
600082,
600265,19225.55821
2087,14218.44904
600089,
861,
600768,1664.412851
600841,48616.54378
600761,121181.7265
585,
676,
34,
600180,
600387,
600829,
600827,
600830,
300592,
600079,
822,10739.38096
600685,148382.682
300633,35397.73041
601598,
900905,
600493,19428.45408
630,268036.6251
600733,108527.6082
600252,
600131,
759,
812,26009.83927
600167,
600156,42085.99313
2746,33086.81518
600866,28974.97829
600232,5318.818538
2263,25841.73541
600091,14159.3139
603663,42542.92767
423,
600118,
877,166330.1965
603019,
600136,
600127,37363.13076
200012,39820.87256
932,76792.2867
600860,34127.47901
200017,1088.158943
600,
2077,
200011,
600225,
681,
900907,381.3406167
795,42927.33983
88,
777,37930.84989
600189,20770.45706
2098,
416,
600346,1145922.131
78,
600773,
600072,
603186,
600598,235618.8397
59,155604.3683
401,257719.2728
913,-16358.48114
603311,49893.91572
300748,
761,30416.18058
600456,140426.9287
601038,22993.06982
600522,
601800,
600106,
600748,
600825,
429,
601618,
601066,
2144,14489.85535
600192,
601117,
926,
600239,
2946,19034.77017
68,
600007,
791,
600959,
2863,4473.608973
600969,
600368,
600149,
980,2555.432607
600121,17936.55431
600281,21987.58469
600307,22890.99928
600399,52793.62975
600835,173754.1483
600818,6334.756848
600461,
200016,
600382,
600826,
601658,
43,
1914,
779,
300682,
848,83133.19512
600527,42899.23291
300798,9843.711139
603676,
600023,
905,
300597,
600132,200862.8083
300556,
920,20962.52352
755,
603628,
2961,
603477,8153.316765
2145,59186.49556
600231,43169.05203
600234,
600076,48137.52786
600416,31062.11243
600071,
421,
600552,
600756,
600015,
600053,
200541,
300746,
780,10045.2841
2085,11528.66575
600354,29800.08155
600381,36495.91188
600543,9412.210961
600218,25250.59598
2262,
600502,
2174,
600306,
600814,
2159,
409,
868,-3299.459381
2221,
600199,64581.62513
601106,370267.9749
603956,5293.541948
739,
788,
600242,
958,
600052,
600497,180227.7623
600482,612801.6448
2752,16459.11586
793,
600251,46340.77107
600160,323400.1784
2048,65358.37908
600113,
600151,
963,
600095,67129.61635
600737,330718.1967
931,
908,
600419,11067.01188
2461,98594.06395
955,21721.26888
723,487641.879
2805,12966.70219
600078,48123.58518
600746,2394.848819
600844,24148.39467
600117,54914.75954
600765,65206.66981
600843,7459.738676
600741,195766.6355
603166,31923.70117
566,
600021,
2063,
417,
600857,
600865,
601998,
863,
600158,
600708,
600724,
601127,88461.90894
2129,
603032,
568,1056162.445
2736,
688009,55004.36174
600358,
600258,
601918,106857.9063
426,64971.96993
603609,90465.85532
619,41157.93708
600726,
498,
600769,
600004,
159,
783,
600217,58122.56195
860,500285.8613
422,38242.91411
598,
600317,
300775,34398.7359
600448,36515.13048
806,
886,
786,435515.735
603117,
957,-4524.055925
603530,
600887,345813.1541
697,44896.20679
567,
600545,16788.67708
2102,
603797,
2039,
912,45173.67624
622,53804.84266
600198,
600713,
428,
